Entity,Code,Year,Annual CO₂ emissions (per capita)
Asia,,1988,2.0028317
Asia,,1989,2.032275
Asia,,1990,2.051197
Asia,,1991,2.256128
Asia,,1992,2.1675537
Asia,,1993,2.2288237
Asia,,1994,2.2964156
Asia,,1995,2.367807
Asia,,1996,2.4286053
Asia,,1997,2.42777
Asia,,1998,2.325242
Asia,,1999,2.4259462
Asia,,2000,2.490367
Asia,,2001,2.5061107
Asia,,2002,2.6080198
Asia,,2003,2.8328493
Asia,,2004,2.9632952
Asia,,2005,3.1425073
Asia,,2006,3.3130567
Asia,,2007,3.45139
Asia,,2008,3.5859144
Asia,,2009,3.6710896
Asia,,2010,3.9013112
Asia,,2011,4.1435094
Asia,,2012,4.250022
Asia,,2013,4.2585483
Asia,,2014,4.2746906
Asia,,2015,4.2548037
Asia,,2016,4.2415833
Asia,,2017,4.3261576
Asia,,2018,4.41561
Asia,,2019,4.4992776
Asia,,2020,4.4149313
Asia,,2021,4.5623293
Asia,,2022,4.685265
Asia,,2023,4.8144717
Asia,,2024,4.867817
Europe,,1750,0.062087886
Europe,,1760,0.06671059
Europe,,1770,0.0791657
Europe,,1780,0.09158702
Europe,,1790,0.11238109
Europe,,1800,0.17135876
Europe,,1801,0.16660747
Europe,,1802,0.20929188
Europe,,1803,0.15223475
Europe,,1804,0.16292503
Europe,,1805,0.15948178
Europe,,1806,0.16625623
Europe,,1807,0.18314849
Europe,,1808,0.17865463
Europe,,1809,0.18200651
Europe,,1810,0.19661516
Europe,,1811,0.19855747
Europe,,1812,0.20003302
Europe,,1813,0.20008662
Europe,,1814,0.203119
Europe,,1815,0.20767546
Europe,,1816,0.21459304
Europe,,1817,0.23019937
Europe,,1818,0.23757042
Europe,,1819,0.23322712
Europe,,1820,0.22960977
Europe,,1821,0.2338824
Europe,,1822,0.24062225
Europe,,1823,0.24902461
Europe,,1824,0.2519735
Europe,,1825,0.26330176
Europe,,1826,0.26313496
Europe,,1827,0.27925387
Europe,,1828,0.28030264
Europe,,1829,0.27546224
Europe,,1830,0.3679575
Europe,,1831,0.34016386
Europe,,1832,0.32944092
Europe,,1833,0.32957864
Europe,,1834,0.35024348
Europe,,1835,0.3788523
Europe,,1836,0.41258535
Europe,,1837,0.40426123
Europe,,1838,0.40079007
Europe,,1839,0.41084418
Europe,,1840,0.4422554
Europe,,1841,0.45083058
Europe,,1842,0.4728952
Europe,,1843,0.47803557
Europe,,1844,0.5054933
Europe,,1845,0.5445424
Europe,,1846,0.54492533
Europe,,1847,0.58133566
Europe,,1848,0.58157825
Europe,,1849,0.61419135
Europe,,1850,0.64734524
Europe,,1851,0.63238686
Europe,,1852,0.651848
Europe,,1853,0.66990215
Europe,,1854,0.7895616
Europe,,1855,0.78406507
Europe,,1856,0.83227813
Europe,,1857,0.83197844
Europe,,1858,0.8373362
Europe,,1859,0.87676173
Europe,,1860,0.9633654
Europe,,1861,1.0198766
Europe,,1862,1.0278839
Europe,,1863,1.0745233
Europe,,1864,1.1509877
Europe,,1865,1.2235943
Europe,,1866,1.2551206
Europe,,1867,1.3051126
Europe,,1868,1.3096026
Europe,,1869,1.3611478
Europe,,1870,1.3700087
Europe,,1871,1.4490024
Europe,,1872,1.5526829
Europe,,1873,1.6208694
Europe,,1874,1.4911529
Europe,,1875,1.6321615
Europe,,1876,1.6569277
Europe,,1877,1.6400648
Europe,,1878,1.6442298
Europe,,1879,1.6837175
Europe,,1880,1.8788081
Europe,,1881,1.9133537
Europe,,1882,1.9627429
Europe,,1883,2.0574412
Europe,,1884,2.027836
Europe,,1885,2.0186574
Europe,,1886,2.000567
Europe,,1887,2.0601482
Europe,,1888,2.1651394
Europe,,1889,2.2486446
Europe,,1890,2.3330638
Europe,,1891,2.395599
Europe,,1892,2.3393447
Europe,,1893,2.2553756
Europe,,1894,2.4276416
Europe,,1895,2.4714618
Europe,,1896,2.5627851
Europe,,1897,2.6675856
Europe,,1898,2.7299402
Europe,,1899,2.8832297
Europe,,1900,2.99826
Europe,,1901,2.9464014
Europe,,1902,2.922692
Europe,,1903,3.0157037
Europe,,1904,3.0448437
Europe,,1905,3.10647
Europe,,1906,3.1772997
Europe,,1907,3.4888713
Europe,,1908,3.514344
Europe,,1909,3.4913185
Europe,,1910,3.514245
Europe,,1911,3.577552
Europe,,1912,3.6962206
Europe,,1913,3.9913847
Europe,,1914,3.5452957
Europe,,1915,3.354157
Europe,,1916,3.4991796
Europe,,1917,3.4287016
Europe,,1918,3.109697
Europe,,1919,2.6313114
Europe,,1920,3.060028
Europe,,1921,2.7832806
Europe,,1922,3.0779796
Europe,,1923,2.9186473
Europe,,1924,3.3405945
Europe,,1925,3.2808695
Europe,,1926,2.8001137
Europe,,1927,3.5375533
Europe,,1928,3.5281253
Europe,,1929,3.7990859
Europe,,1930,3.5716798
Europe,,1931,3.3101618
Europe,,1932,3.0562735
Europe,,1933,3.1267207
Europe,,1934,3.3976998
Europe,,1935,3.5414827
Europe,,1936,3.7335281
Europe,,1937,4.021243
Europe,,1938,4.01178
Europe,,1939,4.0730605
Europe,,1940,4.311115
Europe,,1941,4.1366825
Europe,,1942,3.8281624
Europe,,1943,3.8459234
Europe,,1944,3.6388762
Europe,,1945,2.375934
Europe,,1946,3.1477296
Europe,,1947,3.5971165
Europe,,1948,3.8630939
Europe,,1949,4.176294
Europe,,1950,4.3372517
Europe,,1951,4.7441854
Europe,,1952,4.852348
Europe,,1953,4.9439373
Europe,,1954,5.2089024
Europe,,1955,5.6156025
Europe,,1956,5.9247875
Europe,,1957,6.116099
Europe,,1958,6.1148453
Europe,,1959,6.1877055
Europe,,1960,6.5441074
Europe,,1961,6.716583
Europe,,1962,7.019497
Europe,,1963,7.391823
Europe,,1964,7.691739
Europe,,1965,7.8520417
Europe,,1966,8.058902
Europe,,1967,8.177298
Europe,,1968,8.49904
Europe,,1969,8.899912
Europe,,1970,9.277016
Europe,,1971,9.56756
Europe,,1972,9.84574
Europe,,1973,10.219973
Europe,,1974,10.187259
Europe,,1975,10.192282
Europe,,1976,10.692213
Europe,,1977,10.720991
Europe,,1978,11.00652
Europe,,1979,11.21337
Europe,,1980,11.161433
Europe,,1981,10.704563
Europe,,1982,10.574784
Europe,,1983,10.541155
Europe,,1984,10.570768
Europe,,1985,10.985475
Europe,,1986,10.955814
Europe,,1987,10.936949
Europe,,1988,10.94191
Europe,,1989,10.8478
Europe,,1990,11.093729
Europe,,1991,10.646457
Europe,,1992,9.743179
Europe,,1993,9.342668
Europe,,1994,8.836869
Europe,,1995,8.798553
Europe,,1996,8.866414
Europe,,1997,8.584204
Europe,,1998,8.554995
Europe,,1999,8.447242
Europe,,2000,8.446089
Europe,,2001,8.619868
Europe,,2002,8.56332
Europe,,2003,8.742216
Europe,,2004,8.770317
Europe,,2005,8.772248
Europe,,2006,8.902524
Europe,,2007,8.811422
Europe,,2008,8.7018175
Europe,,2009,7.988396
Europe,,2010,8.278616
Europe,,2011,8.166225
Europe,,2012,8.092234
Europe,,2013,7.8675003
Europe,,2014,7.5443096
Europe,,2015,7.533763
Europe,,2016,7.495169
Europe,,2017,7.5266643
Europe,,2018,7.4903345
Europe,,2019,7.245424
Europe,,2020,6.6967344
Europe,,2021,7.0246267
Europe,,2022,6.812951
Europe,,2023,6.545994
Europe,,2024,6.541561
North America,,1790,0.00023660681
North America,,1800,0.017906494
North America,,1801,0.018690445
North America,,1802,0.01989458
North America,,1803,0.020074496
North America,,1804,0.02216836
North America,,1805,0.022290347
North America,,1806,0.021465817
North America,,1807,0.023872076
North America,,1808,0.024383908
North America,,1809,0.024646167
North America,,1810,0.024993857
North America,,1811,0.026250409
North America,,1812,0.02780726
North America,,1813,0.029262545
North America,,1814,0.030839905
North America,,1815,0.032332525
North America,,1816,0.034892946
North America,,1817,0.036947973
North America,,1818,0.03925944
North America,,1819,0.03754317
North America,,1820,0.038160235
North America,,1821,0.039216816
North America,,1822,0.040193643
North America,,1823,0.041189134
North America,,1824,0.045550894
North America,,1825,0.05005761
North America,,1826,0.056906432
North America,,1827,0.061460372
North America,,1828,0.06642322
North America,,1829,0.073394075
North America,,1830,0.08362567
North America,,1831,0.08897267
North America,,1832,0.116362855
North America,,1833,0.13301432
North America,,1834,0.12491159
North America,,1835,0.15617768
North America,,1836,0.16763563
North America,,1837,0.18413039
North America,,1838,0.17098258
North America,,1839,0.18355195
North America,,1840,0.19095269
North America,,1841,0.19766374
North America,,1842,0.21507406
North America,,1843,0.23570313
North America,,1844,0.27600986
North America,,1845,0.3244979
North America,,1846,0.3600632
North America,,1847,0.41689628
North America,,1848,0.4534168
North America,,1849,0.48056248
North America,,1850,0.5092744
North America,,1851,0.6188479
North America,,1852,0.65726495
North America,,1853,0.7222555
North America,,1854,0.7750555
North America,,1855,0.87044394
North America,,1856,0.9001846
North America,,1857,0.9005075
North America,,1858,0.89170873
North America,,1859,0.94741327
North America,,1860,0.97010434
North America,,1861,0.92081124
North America,,1862,0.9435757
North America,,1863,1.0660269
North America,,1864,1.126579
North America,,1865,1.11321
North America,,1866,1.1056702
North America,,1867,1.3354559
North America,,1868,1.4658017
North America,,1869,1.6312027
North America,,1870,1.6921569
North America,,1871,1.7429851
North America,,1872,2.090394
North America,,1873,2.2577796
North America,,1874,2.1340368
North America,,1875,2.1197355
North America,,1876,2.0338266
North America,,1877,2.2098958
North America,,1878,2.1208503
North America,,1879,2.5323753
North America,,1880,2.8494492
North America,,1881,2.9583144
North America,,1882,3.255529
North America,,1883,3.4484208
North America,,1884,3.5743265
North America,,1885,3.560077
North America,,1886,3.6893032
North America,,1887,3.8819208
North America,,1888,4.640994
North America,,1889,4.084477
North America,,1890,4.7865477
North America,,1891,5.0212116
North America,,1892,5.200411
North America,,1893,5.162151
North America,,1894,4.760898
North America,,1895,5.2560973
North America,,1896,5.191457
North America,,1897,5.3138833
North America,,1898,5.6937814
North America,,1899,6.436859
North America,,1900,6.703664
North America,,1901,7.191244
North America,,1902,7.4938827
North America,,1903,8.591813
North America,,1904,8.378315
North America,,1905,9.189057
North America,,1906,9.482193
North America,,1907,10.844588
North America,,1908,9.380331
North America,,1909,10.150135
North America,,1910,10.91125
North America,,1911,10.752785
North America,,1912,11.33853
North America,,1913,12.089126
North America,,1914,10.872295
North America,,1915,11.084629
North America,,1916,12.221802
North America,,1917,13.327446
North America,,1918,13.76596
North America,,1919,11.611304
North America,,1920,13.619003
North America,,1921,11.273651
North America,,1922,11.090768
North America,,1923,14.154896
North America,,1924,12.486585
North America,,1925,12.520027
North America,,1926,13.276099
North America,,1927,12.7687435
North America,,1928,12.341001
North America,,1929,13.013824
North America,,1930,11.463742
North America,,1931,9.612037
North America,,1932,8.109149
North America,,1933,8.583557
North America,,1934,9.09275
North America,,1935,9.345112
North America,,1936,10.587172
North America,,1937,11.00871
North America,,1938,9.288044
North America,,1939,10.104448
North America,,1940,11.191834
North America,,1941,12.014413
North America,,1942,12.702232
North America,,1943,12.911896
North America,,1944,13.608128
North America,,1945,12.901245
North America,,1946,12.218642
North America,,1947,13.183822
North America,,1948,13.504565
North America,,1949,11.205984
North America,,1950,12.471012
North America,,1951,12.680518
North America,,1952,12.136213
North America,,1953,12.190486
North America,,1954,11.484831
North America,,1955,12.297914
North America,,1956,12.706548
North America,,1957,12.3791065
North America,,1958,11.826562
North America,,1959,11.9476595
North America,,1960,11.985103
North America,,1961,11.72341
North America,,1962,11.936488
North America,,1963,12.172398
North America,,1964,12.559172
North America,,1965,12.837252
North America,,1966,13.227015
North America,,1967,13.563191
North America,,1968,13.866941
North America,,1969,14.318686
North America,,1970,15.20661
North America,,1971,15.109756
North America,,1972,15.612672
North America,,1973,16.058285
North America,,1974,15.381584
North America,,1975,14.657456
North America,,1976,15.148983
North America,,1977,15.340862
North America,,1978,15.635167
North America,,1979,15.583867
North America,,1980,14.961503
North America,,1981,14.250882
North America,,1982,13.468686
North America,,1983,13.266642
North America,,1984,13.494519
North America,,1985,13.391417
North America,,1986,13.161354
North America,,1987,13.578401
North America,,1988,13.963881
North America,,1989,14.00591
North America,,1990,14.1804695
North America,,1991,13.854948
North America,,1992,13.927009
North America,,1993,13.97754
North America,,1994,14.049536
North America,,1995,14.0109415
North America,,1996,14.29215
North America,,1997,14.366525
North America,,1998,14.388422
North America,,1999,14.406991
North America,,2000,14.78584
North America,,2001,14.3968
North America,,2002,14.348756
North America,,2003,14.405507
North America,,2004,14.442656
North America,,2005,14.367344
North America,,2006,14.08284
North America,,2007,14.120287
North America,,2008,13.5402565
North America,,2009,12.485616
North America,,2010,12.715312
North America,,2011,12.401896
North America,,2012,11.919599
North America,,2013,12.050421
North America,,2014,12.008157
North America,,2015,11.604535
North America,,2016,11.248586
North America,,2017,11.042576
North America,,2018,11.245828
North America,,2019,10.953225
North America,,2020,9.761333
North America,,2021,10.352162
North America,,2022,10.390202
North America,,2023,10.096913
North America,,2024,9.990717
South America,,1844,0.0014039242
South America,,1845,0.002053181
South America,,1846,0.002550151
South America,,1847,0.0030576747
South America,,1848,0.0034128835
South America,,1849,0.0061191246
South America,,1850,0.0048894696
South America,,1851,0.005662584
South America,,1852,0.0091734305
South America,,1853,0.005859478
South America,,1854,0.0002685756
South America,,1855,0.0074515436
South America,,1856,0.027229564
South America,,1857,0.04267045
South America,,1858,0.046171896
South America,,1859,0.036001474
South America,,1860,0.04850115
South America,,1861,0.044145875
South America,,1862,0.040292315
South America,,1863,0.043720767
South America,,1864,0.053091038
South America,,1865,0.0614143
South America,,1866,0.0828002
South America,,1867,0.0869269
South America,,1868,0.09990708
South America,,1869,0.0884349
South America,,1870,0.08925572
South America,,1871,0.093262084
South America,,1872,0.122471064
South America,,1873,0.1325245
South America,,1874,0.14764744
South America,,1875,0.12602736
South America,,1876,0.12251304
South America,,1877,0.112519205
South America,,1878,0.10823685
South America,,1879,0.110142805
South America,,1880,0.12377966
South America,,1881,0.13206337
South America,,1882,0.13241042
South America,,1883,0.1381004
South America,,1884,0.15397647
South America,,1885,0.15740004
South America,,1886,0.14477074
South America,,1887,0.16448963
South America,,1888,0.19616435
South America,,1889,0.22697216
South America,,1890,0.18685704
South America,,1891,0.19056651
South America,,1892,0.19093779
South America,,1893,0.1871768
South America,,1894,0.22925468
South America,,1895,0.22868921
South America,,1896,0.24172585
South America,,1897,0.22009735
South America,,1898,0.23147582
South America,,1899,0.23780607
South America,,1900,0.21621478
South America,,1901,0.22880019
South America,,1902,0.23927331
South America,,1903,0.23916085
South America,,1904,0.2441603
South America,,1905,0.27950913
South America,,1906,0.3327609
South America,,1907,0.37236306
South America,,1908,0.3854601
South America,,1909,0.37234485
South America,,1910,0.409141
South America,,1911,0.46478626
South America,,1912,0.47052085
South America,,1913,0.4845292
South America,,1914,0.3947213
South America,,1915,0.2812881
South America,,1916,0.25774732
South America,,1917,0.22582251
South America,,1918,0.19718663
South America,,1919,0.22625773
South America,,1920,0.2625075
South America,,1921,0.24539292
South America,,1922,0.27437925
South America,,1923,0.3052269
South America,,1924,0.37482536
South America,,1925,0.3898891
South America,,1926,0.3971582
South America,,1927,0.426782
South America,,1928,0.43834385
South America,,1929,0.47283188
South America,,1930,0.3948104
South America,,1931,0.3535584
South America,,1932,0.39088354
South America,,1933,0.4336828
South America,,1934,0.4763104
South America,,1935,0.5045812
South America,,1936,0.48874187
South America,,1937,0.60005814
South America,,1938,0.54905653
South America,,1939,0.5266004
South America,,1940,0.56424356
South America,,1941,0.5589522
South America,,1942,0.51370543
South America,,1943,0.50880134
South America,,1944,0.54848903
South America,,1945,0.54272
South America,,1946,0.5582945
South America,,1947,0.5954354
South America,,1948,0.6482543
South America,,1949,0.64339936
South America,,1950,1.0041254
South America,,1951,1.1316377
South America,,1952,1.187007
South America,,1953,1.1484048
South America,,1954,1.2002786
South America,,1955,1.3150389
South America,,1956,1.3855476
South America,,1957,1.4118793
South America,,1958,1.2726239
South America,,1959,1.3643128
South America,,1960,1.3418474
South America,,1961,1.3227601
South America,,1962,1.3757195
South America,,1963,1.3623447
South America,,1964,1.3916494
South America,,1965,1.4143811
South America,,1966,1.4470665
South America,,1967,1.4973593
South America,,1968,1.5721273
South America,,1969,1.6610438
South America,,1970,1.7611747
South America,,1971,1.7653229
South America,,1972,1.8048741
South America,,1973,1.9105396
South America,,1974,1.9811608
South America,,1975,1.9144534
South America,,1976,1.9069666
South America,,1977,1.9334581
South America,,1978,2.0091493
South America,,1979,2.10168
South America,,1980,2.1135788
South America,,1981,1.9914278
South America,,1982,1.9528536
South America,,1983,1.8912982
South America,,1984,1.8726878
South America,,1985,1.8725166
South America,,1986,1.9369823
South America,,1987,1.9974277
South America,,1988,2.0397782
South America,,1989,1.9993336
South America,,1990,2.024764
South America,,1991,2.0140781
South America,,1992,2.0178697
South America,,1993,2.0949047
South America,,1994,2.0691943
South America,,1995,2.141113
South America,,1996,2.1994238
South America,,1997,2.3062692
South America,,1998,2.3424377
South America,,1999,2.370899
South America,,2000,2.3344057
South America,,2001,2.2443588
South America,,2002,2.2944076
South America,,2003,2.2680585
South America,,2004,2.3405006
South America,,2005,2.3803587
South America,,2006,2.427945
South America,,2007,2.4943237
South America,,2008,2.5829513
South America,,2009,2.486204
South America,,2010,2.7457771
South America,,2011,2.7603357
South America,,2012,2.8695872
South America,,2013,3.0007956
South America,,2014,3.0108438
South America,,2015,2.8996654
South America,,2016,2.7654984
South America,,2017,2.7012587
South America,,2018,2.5753226
South America,,2019,2.5866785
South America,,2020,2.3102164
South America,,2021,2.5944958
South America,,2022,2.5570683
South America,,2023,2.5591495
South America,,2024,2.5496047
